,Country Name,Country Code,Series Name,Series Code,2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
53,Hungary,HUN,Internet users (per 100 people),IT.NET.USER.P2,27.74,38.97,47.06,53.3,61.0,62.0,65.0,68.01998789,70.57999815,72.6439,75.65319745
54,Iceland,ISL,Internet users (per 100 people),IT.NET.USER.P2,83.88,87.0,89.51,90.6,91.0,93.0,93.39,94.8196868,96.20979955,96.5468,98.16
55,India,IND,Internet users (per 100 people),IT.NET.USER.P2,1.976136492,2.388075,2.805499865,3.95,4.38,5.12,7.5,10.07,12.58006091,15.1,21.0
56,Indonesia,IDN,Internet users (per 100 people),IT.NET.USER.P2,2.600285876,3.602024763,4.764813134,5.786274729,7.917479385,6.92,10.92,12.28,14.52,14.94,17.14
57,"Iran, Islamic Rep.",IRN,Internet users (per 100 people),IT.NET.USER.P2,7.49,8.1,8.76,9.47,12.02,13.8,15.9,19.0,22.73,29.95,39.35
58,Ireland,IRL,Internet users (per 100 people),IT.NET.USER.P2,36.99,41.61,54.82,61.15832455,65.34,67.38,69.85,74.88997297,76.91999254,78.2477,79.69
59,Israel,ISR,Internet users (per 100 people),IT.NET.USER.P2,22.77048553,25.19404242,27.88107446,48.12806219,59.39,63.12,67.5,68.87387799,70.8,70.25031195,75.01775316
60,Italy,ITA,Internet users (per 100 people),IT.NET.USER.P2,33.24,35.0,37.99,40.79,44.53,48.83,53.68,54.3899983,55.82999799,58.4593,55.63846022
61,Jamaica,JAM,Internet users (per 100 people),IT.NET.USER.P2,10.0,12.8,16.4,21.1,23.6,24.3,27.67,37.43861341,33.79,37.1,40.4027351
62,Japan,JPN,Internet users (per 100 people),IT.NET.USER.P2,62.39392963,66.92106609999999,68.68527032,74.3,75.4,78.0,78.21,79.05411352,79.4964,88.21942891,89.10683302
63,Jordan,JOR,Internet users (per 100 people),IT.NET.USER.P2,11.65874137,12.93285205,13.86710879,20.0,23.0,26.0,27.2,34.9,37.0,41.4,46.2
64,Kazakhstan,KAZ,Internet users (per 100 people),IT.NET.USER.P2,2.650394657,2.961707492,3.268369051,4.02,11.0,18.2,31.6,50.6,53.31566912,63.0,66.0
65,Kenya,KEN,Internet users (per 100 people),IT.NET.USER.P2,3.0235280419999997,3.101897702,3.6,4.4,5.2,6.1,7.2,8.8,10.5,13.0,16.5
66,"Korea, Rep.",KOR,Internet users (per 100 people),IT.NET.USER.P2,72.7,73.5,78.1,78.8,81.0,81.6,83.7,83.75912015,84.07,84.77,87.55682649
67,Kuwait,KWT,Internet users (per 100 people),IT.NET.USER.P2,22.92711204,25.92610837,28.79119795,34.8,42.0,50.8,61.4,65.76907069,70.45,75.46,78.7
68,Latin America & Caribbean,LCN,Internet users (per 100 people),IT.NET.USER.P2,14.40238707,16.62978984,20.75263406,23.70293508,26.50047906,31.03430413,34.70962205,39.34647041,43.18401808,46.26188277,48.76919872
69,Latin America & Caribbean (excluding high income),LAC,Internet users (per 100 people),IT.NET.USER.P2,13.84810843,16.0539116,20.1969995,23.1934153,25.96640769,30.52083211,34.19612572,38.75322048,42.51679061,45.62016216,48.07666979
70,Latvia,LVA,Internet users (per 100 people),IT.NET.USER.P2,38.58,46.0,53.63,59.17,63.41,66.84,68.42,69.74995456,73.11994377,75.2344,75.83
71,Least developed countries: UN classification,LDC,Internet users (per 100 people),IT.NET.USER.P2,0.5546595999999999,0.783962452,1.11724541,1.922990045,2.1223670340000003,2.7053716260000003,4.271479294,4.799939353,6.060082411000001,7.538075537999999,10.46735545
72,Lesotho,LSO,Internet users (per 100 people),IT.NET.USER.P2,2.175524339,2.580245484,2.979708187,3.44543126,3.58,3.72,3.86,7.0,10.0,15.0,22.0
73,Low & middle income,LMY,Internet users (per 100 people),IT.NET.USER.P2,5.8503646389999995,6.935330862000001,8.52514123,11.09854981,13.726360199999998,16.44168205,20.16898745,23.02191669,26.20614616,29.03944261,32.42386616
74,Low income,LIC,Internet users (per 100 people),IT.NET.USER.P2,0.6630634910000001,0.910523758,1.1354630940000001,1.3595977559999999,1.8699478269999998,2.366428996,3.25984344,3.724865106,4.709011385,6.055549384,7.712589106
75,Lower middle income,LMC,Internet users (per 100 people),IT.NET.USER.P2,2.919588033,3.6782979260000004,4.5877863439999995,5.832043017,6.881584929,7.989348088,10.95922964,13.16760068,15.69527165,18.30726638,22.68924498
76,Madagascar,MDG,Internet users (per 100 people),IT.NET.USER.P2,0.525353655,0.567721802,0.607552239,0.65,1.65,1.63,1.7,1.9,2.3,3.0,3.7
77,Malawi,MWI,Internet users (per 100 people),IT.NET.USER.P2,0.347505335,0.38448933399999996,0.42513749,0.9658647370000001,0.7,1.07,2.26,3.33,4.3506,5.05,5.83
78,Malaysia,MYS,Internet users (per 100 people),IT.NET.USER.P2,42.25226563,48.62917025,51.63798899,55.7,55.8,55.9,56.3,61.0,65.8,57.05751226,63.66542588
79,Maldives,MDV,Internet users (per 100 people),IT.NET.USER.P2,6.588254875,6.869605067,11.03635278,16.3,23.2,24.8,26.53,34.0,38.9301,44.1,49.28
80,Mali,MLI,Internet users (per 100 people),IT.NET.USER.P2,0.43281964,0.507063136,0.729627281,0.81,1.57,1.8,2.0,2.2,2.8,3.5,7.0
81,Mauritius,MUS,Internet users (per 100 people),IT.NET.USER.P2,13.68908859,15.17222875,16.7,20.22,21.81,22.51,28.33,34.95,35.42,40.11682514,44.80327537
82,Mexico,MEX,Internet users (per 100 people),IT.NET.USER.P2,14.1,17.21,19.52,20.81,21.71,26.34,31.05,37.17629541,39.75,43.46,44.39
83,Middle East & North Africa,MEA,Internet users (per 100 people),IT.NET.USER.P2,8.351298094,9.753068167999999,11.79240226,15.04136038,18.73683788,21.59770331,24.8526292,27.78422129,31.56337525,35.24979824,40.13850778
84,Middle East & North Africa (excluding high income),MNA,Internet users (per 100 people),IT.NET.USER.P2,7.416945667,8.539218726,9.912249748999999,11.84823861,14.96713748,17.67142463,20.61891636,22.86862172,26.13501199,29.65809784,34.68657587
85,Middle income,MIC,Internet users (per 100 people),IT.NET.USER.P2,6.34087366,7.5084551170000005,9.228078054,12.06616399,14.93111304,17.89274502,21.89184648,25.05635911,28.50888106,31.47733407,35.08866083
86,Moldova,MDA,Internet users (per 100 people),IT.NET.USER.P2,10.62939084,14.63027046,19.62064771,20.45,23.39,27.5,32.3,38.0,43.37,45.0,46.6
87,Morocco,MAR,Internet users (per 100 people),IT.NET.USER.P2,11.60793477,15.08444452,19.77119157,21.5,33.1,41.3,52.0,46.1074826,55.41605319,56.0,56.8
88,Mozambique,MOZ,Internet users (per 100 people),IT.NET.USER.P2,0.679447835,0.8543571179999999,0.842954488,0.91,1.56,2.68,4.17,4.3,6.0,7.29393733,9.236314896
89,Namibia,NAM,Internet users (per 100 people),IT.NET.USER.P2,3.804715615,4.010046644,4.398870647,4.835610778,5.329003772,6.5,11.6,12.0,12.9414,13.9,14.84
90,Netherlands,NLD,Internet users (per 100 people),IT.NET.USER.P2,68.52,81.0,83.7,85.82,87.42,89.63,90.72,91.41999576,92.85999236,93.9564,91.666666
91,New Zealand,NZL,Internet users (per 100 people),IT.NET.USER.P2,61.84762781,62.72021237,69.0,69.76,72.03,79.7,80.46,81.23,81.64447018,82.78,85.5
92,Nicaragua,NIC,Internet users (per 100 people),IT.NET.USER.P2,2.320664609,2.566351177,2.805573063,3.9,5.3,7.3,10.0,10.6,13.5,15.5,17.6
93,Niger,NER,Internet users (per 100 people),IT.NET.USER.P2,0.189933734,0.22134135100000002,0.294033977,0.39039062,0.7,0.76,0.83,1.3,1.4077,1.7,1.95
94,Nigeria,NGA,Internet users (per 100 people),IT.NET.USER.P2,1.2861376409999998,3.549155718,5.545036082999999,6.77,8.0,9.3,11.5,13.8,16.1,19.1,21.0
95,North America,NAC,Internet users (per 100 people),IT.NET.USER.P2,64.87424722,68.32787479,69.27045383,74.82360509,74.26650299,71.91664651,72.54048364,71.04254959,75.5235834,72.83028818,74.40481529
96,Norway,NOR,Internet users (per 100 people),IT.NET.USER.P2,77.69,81.99,82.55,86.93,90.57,92.08,93.39,93.48998265,94.64997805,95.0534,96.3
97,OECD members,OED,Internet users (per 100 people),IT.NET.USER.P2,50.52910154,54.14682857,56.60755682,61.87614113,63.91264904,65.32168712,67.62063433,68.5340433,70.94951349,72.25506662,73.85124287
98,Oman,OMN,Internet users (per 100 people),IT.NET.USER.P2,6.75885217,6.68358142,8.299716672999999,16.68,20.0,26.8,35.8278,48.0,60.0,66.45,70.22
99,Pakistan,PAK,Internet users (per 100 people),IT.NET.USER.P2,6.164320985,6.332329098,6.5,6.8,7.0,7.5,8.0,9.0,9.96,10.9,12.0
100,Papua New Guinea,PNG,Internet users (per 100 people),IT.NET.USER.P2,1.5079127719999998,1.716190476,1.754487261,1.790559361,1.15,1.61,1.28,2.0,3.5,5.1,6.5
101,Paraguay,PRY,Internet users (per 100 people),IT.NET.USER.P2,3.452438431,7.907007861,7.962073884,11.21,14.27,18.9,19.8,24.76351588,29.34,36.9,43.0
102,Peru,PER,Internet users (per 100 people),IT.NET.USER.P2,14.1,17.1,20.7,25.2,30.57,31.4,34.77,36.01,38.2,39.2,40.2
103,Philippines,PHL,Internet users (per 100 people),IT.NET.USER.P2,5.243628452,5.397636329,5.740586325,5.97,6.22,9.0,25.0,29.0,36.2351,48.09902359,49.6
104,Poland,POL,Internet users (per 100 people),IT.NET.USER.P2,32.53,38.81,44.58,48.6,53.13,58.97,62.32,61.94999897,62.30999727,62.8492,66.6
105,Portugal,PRT,Internet users (per 100 people),IT.NET.USER.P2,31.78,34.99,38.01,42.09,44.13,48.27,53.3,55.24999688,60.33999749,62.0956,64.59
106,Russian Federation,RUS,Internet users (per 100 people),IT.NET.USER.P2,12.8593889,15.226673199999999,18.02327746,24.66,26.83,29.0,43.0,49.0,63.8,67.97,70.52
107,Rwanda,RWA,Internet users (per 100 people),IT.NET.USER.P2,0.43085424299999997,0.556041165,22.25778137,2.115387178,4.5,7.7,8.0,7.0,8.023854277,9.0,10.6
