,Country Name,Country Code,Series Name,Series Code,2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
38,Europe & Central Asia (excluding high income),ECA,Time required to start a business (days),IC.REG.DURS,40.875,39.47058824,32.22222222,27.33333333,23.0,18.42105263,17.31578947,15.47368421,14.42105263,12.55263158,11.55263158
39,European Union,EUU,Time required to start a business (days),IC.REG.DURS,36.68,27.68,23.84615385,20.23076923,17.37037037,15.66666667,14.48148148,14.35714286,13.80357143,13.16071429,11.57142857
40,Fiji,FJI,Time required to start a business (days),IC.REG.DURS,31.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,58.0,59.0,59.0
41,Finland,FIN,Time required to start a business (days),IC.REG.DURS,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
42,France,FRA,Time required to start a business (days),IC.REG.DURS,7.0,7.0,7.0,7.0,6.5,6.5,6.5,6.5,6.5,6.5,4.5
43,"Gambia, The",GMB,Time required to start a business (days),IC.REG.DURS,47.77269403,28.0,27.0,32.0,27.0,27.0,27.0,27.0,27.0,27.0,26.0
44,Germany,DEU,Time required to start a business (days),IC.REG.DURS,45.0,22.0,22.0,18.0,17.5,17.5,14.5,14.5,14.5,14.5,14.5
45,Ghana,GHA,Time required to start a business (days),IC.REG.DURS,21.0,17.0,17.0,13.0,11.0,11.0,11.0,11.0,11.0,14.0,14.0
46,Greece,GRC,Time required to start a business (days),IC.REG.DURS,38.0,38.0,38.0,38.0,19.0,19.0,19.0,11.0,11.0,14.0,13.0
47,Guatemala,GTM,Time required to start a business (days),IC.REG.DURS,39.0,39.0,27.0,34.0,34.0,37.0,37.0,37.0,40.0,19.5,18.5
48,Guinea,GIN,Time required to start a business (days),IC.REG.DURS,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,35.0,16.0,8.0
49,Guinea-Bissau,GNB,Time required to start a business (days),IC.REG.DURS,47.77269403,259.0,260.0,259.0,259.0,216.0,216.0,9.0,9.0,9.0,9.0
