Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
"Bahamas, The",BHS,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,-17300000,-1300000,300000,27100000,23400000,106800000,87800000,210000000,146900000,149300000,250250000,102370000,152790000,190200000,273600000,563414700,706380000,713350000,860156197.03,663960000,871970000,666621000,526171000,382252000,251277428.82,76075924.75,73723568.41
Bahrain,BHR,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,-182712765.957447,619414893.617021,868617021.276596,-275000007.923316,208244700.235544,430586743.724591,2048151879.61006,329284164.223769,179454413.27302,453737837.974614,363562321.906707,80358858.3697633,216986881.649308,516700276.442675,865308118.622995,1048601306.14142,2914659868.30074,1756312514.78198,1793998354.54447,257149561.420298,155771009.169721,780851063.829788,891223404.255319,988829787.234043,957712765.957447,-1462765957.4468,..
Bangladesh,BGD,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,3238781.18895631,1390444.32247979,3721853.382288,14049886.5245761,11147788.327757,1896372.12711773,13529831.5362586,139376153.115317,190059372.97475,179662970.340192,280384629.677983,78527040.0772574,52304931.038967,268285231.831689,448905400.707685,760504265.755651,456523167.703824,651029738.054822,1328422986.51751,901286583.13086,1232258246.59254,1264725163.33408,1584403459.98466,2602962095.36816,2539190939.68371,3380251354.53116,..
Barbados,BRB,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,11200000,7400000,14450000,9400000,12950000,11750000,13300000,14800000,15750000,17350000,19400000,18550000,17400000,58250000,-12100000,238261395.8643,342244377.215,451704576.96,462037883.775,458155604.11,668827625.285,387635239.865,437173278.311957,-8083630.0259665,485583034.787356,254424001.8864,..
Belarus,BLR,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,..,..,7000000,17600000,10500000,14700000,104500000,351600000,203200000,444000000,118800000,95800000,247100000,171800000,163800000,306600000,357100000,1807300000,2187900000,1876500000,1393400000,4002400000,1463600000,2246100000,1862000000,1652300000,1244400000
Belgium,BEL,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,..,..,..,..,..,..,..,..,..,..,..,..,18080576795.9181,34543942055.3342,44415185590.2333,33683830158.1205,58827696332.8344,96587921127.4395,190542715162.038,86527976138.6549,111490238331.287,158028565815.979,6683318618.52526,-28375208909.4075,-19303845018.1129,-20797132928.7156,19440995047.1586
Belize,BLZ,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,17200000,13600000,15600000,9200000,15369500,21050000,16580000,11955000,17650000,53579000,29564651.9166666,61174888.8668778,25461176.8782397,-10924755.7533455,111496166.355423,126908465.922063,108828544.570357,140373737.268583,169668449.489583,108840086.423874,96449877.0838033,95348525.1917313,194201408.788436,92247730.9426541,141097030.34391,59119223.8981489,..
Benin,BEN,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,62376777.1352232,120780806.62353,77571726.5958986,1403787.18368037,13648839.8950778,13329502.1175034,35517375.9810328,27015294.5261156,37952254.6845812,39264307.4264209,-12763065.7457853,16724905.8293049,-19304487.4077906,10614240.6548008,-40701529.9726062,-8785364.69529622,-12352499.8489782,139006086.840239,48016408.3225725,-18732013.5573172,53454932.9907285,161091309.01743,281564661.094923,360240965.326816,405197656.01573,149695382.069113,..
Bermuda,BMU,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,..,..,..,..,..,..,..,34700000,102700000,60500000,66900000,41800000,5400000,12900000,831600000,43700000,-88170000,617153591.794277,171529641.632488,-70747817.1664244,222710475.853259,-257865988.558357,47614095.0743783,54904045.8298395,-3425440.52413015,-203934013.551819,..
Bhutan,BTN,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,1600000,600000,10,10,10,50000,1400000,-700000,..,1050274.7623,..,..,2425411.89830139,3370306.52615852,8859907.53919654,6210884.3537415,6122702.14271106,73855769.764882,3144001.01949936,18299707.2343963,75274009.0283126,31141614.8601365,24380673.5733894,20433631.0650379,28951712.7840704,10768411.2863194,8075838.41998409
