Country Name,Country Code,Series Name,Series Code,2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Chad,TCD,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,..,..,..,..,..,..,..,..,..,..,..
Channel Islands,CHI,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,3898,5783,3660,3957,4296,4032,4032,4032,4032,4032,4032,..
China,CHN,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,1828548,1934612,2055716,2211246,2511804,2523917,2451185,2562635,2518310,2473477,2308669,1980061
Colombia,COL,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,7751,8366,8449,9049,9049,..,..,..,..,..,..,..
Comoros,COM,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,..,..,..,..,..,..,..,..,..,..,..
"Congo, Dem. Rep.",COD,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,491,444,342,331,352,182,193,158,170,174,148,133
"Congo, Rep.",COG,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,231,263.9,234.2,..,234,..,..,257,257,257,..,..
Costa Rica,CRI,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,..,..,..,..,..,..,..,..,..,..,..
Cote d'Ivoire,CIV,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,675,675,675,..,..,..,..,..,..,..,..
Croatia,HRV,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,2493,2835,3305,3574,3312,2641,2618,2438,2332,2086,2119,2184
Cuba,CUB,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,..,..,..,1351,..,..,..,..,..,..,..
Curacao,CUW,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,..,..,..,..,..,..,..,..,..,..,..
Cyprus,CYP,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,..,..,..,..,..,..,..,..,..,..,..
Czech Republic,CZE,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,16214,14385,16306,16972,15961,11249,13592,13872,11423,10588,9871,11095
Denmark,DNK,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,2030,..,..,..,..,..,..,..,..,..,..,..
Djibouti,DJI,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,97,..,..,..,..,..,..,..,..,..,..
Dominica,DMA,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,..,..,..,..,..,..,..,..,..,..,..
Dominican Republic,DOM,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,..,..,..,..,..,..,..,..,..,..,..
Early-demographic dividend,EAR,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,..,..,..,..,..,..,..,..,..,..,..
East Asia & Pacific,EAS,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,4367.5,6958.25,..,6325.5,..,..,8581,8581,8812.5,8365,..
East Asia & Pacific (excluding high income),EAP,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,3383.5,..,..,..,..,..,..,..,..,..,..,..
East Asia & Pacific (IDA & IBRD countries),TEA,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,3383.5,3482.5,4072.5,..,4150,..,..,5633.5,5562.5,5449.5,5708.95,..
Ecuador,ECU,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,..,..,..,..,..,..,..,..,..,..,..
"Egypt, Arab Rep.",EGY,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,4188,3917,3917,3917,4188,3840,3840,1592,1592,1592.136,1592,..
El Salvador,SLV,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,..,..,..,..,..,..,..,..,..,..,..
Equatorial Guinea,GNQ,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,..,..,..,..,..,..,..,..,..,..,..
Eritrea,ERI,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,..,..,..,..,..,..,..,..,..,..,..
Estonia,EST,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,9567,10311,10152,8153,5683,5780,6261,6034,4807,4807,4807,..
Ethiopia,ETH,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,..,..,..,..,..,..,..,..,..,..,..
Euro area,EMU,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,9890,9767,11060,10434,10224,8110,7844,8019,7507,7393.39,7603.36,10267
Europe & Central Asia,ECS,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,9450.5,9706,10152,10404,10104,7582,7844,8019,8110,7393.39,7487.13,8531.85
Europe & Central Asia (excluding high income),ECA,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,5212,6127,5677,7379,5800.5,5417,5048,6055,5583.5,4092.8,4987.5,5235.875
Europe & Central Asia (IDA & IBRD countries),TEC,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,6381.5,7398.5,6127,8529.5,6928,6499.5,6228,6950.5,8212,5539.6,6179.2,6210.5
European Union,EUU,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,10105,10311,11500,11064,10777,8110,7844,8707,7507,7393.39,7603.36,10267
Faroe Islands,FRO,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,..,..,..,..,..,..,..,..,..,..,..
Fiji,FJI,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,..,..,..,..,..,..,..,..,..,..,..
Finland,FIN,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,10105,9706,11060,10434,10777,8872,9760,9395,9275,9470,9597,8468
