Country Name,Country Code,Series,Series Code,2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Brazil,BRA,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,3.96991991996765,4.48028993606567,4.86949014663696,4.97474002838135,5.26850986480713,5.46853017807007,5.6427698135376,5.74579000473022,5.79515981674194,5.99394989013672,..,..
British Virgin Islands,VGB,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,3.59943008422852,..,3.96987009048462,4.35896015167236,..,..,..,..,6.64192008972167
Brunei Darussalam,BRN,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,2.04661011695862,3.32209992408752,2.88959002494812,..,3.35318994522095,..
Bulgaria,BGR,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,2.32557010650635,4.11535978317261,3.91203999519348,3.65297007560729,4.20479011535645,4.29410982131958,3.86346006393433,3.56303000450134,3.50202989578247,4.06197023391724,..,..
Burkina Faso,BFA,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,4.43476009368896,4.45137977600098,4.59601020812988,..,..,3.93681001663208,4.48355007171631,4.05393981933594,4.59568977355957,4.60476016998291,4.06224012374878
Burundi,BDI,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,3.73611998558044,3.62687993049622,..,..,5.19599008560181,6.3205099105835,6.80530977249146,5.99911022186279,5.81509017944336,5.41641998291016,..,..
Cabo Verde,CPV,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,7.47664022445679,..,6.52960014343262,5.40638017654419,5.50567007064819,5.30424022674561,5.55001020431519,5.04101991653442,..,4.99245023727416,..,..
Cambodia,KHM,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,1.72290003299713,..,..,1.60123002529144,..,1.6640100479126,1.53534996509552,1.50978994369507,1.56315004825592,2.02175998687744,1.90197002887726,..
Cameroon,CMR,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,3.33145999908447,3.1230800151825,2.95489001274109,3.36702990531921,2.96932005882263,3.47274994850159,3.31309008598328,3.06405997276306,2.96862006187439,3.02990007400513,..,..
Canada,CAN,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,4.78638982772827,..,4.78743982315063,4.64870023727416,4.86123991012573,5.36091995239258,5.28121995925903,..,..,..,..
Cayman Islands,CYM,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..
Central African Republic,CAF,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,1.62443995475769,1.63694000244141,1.41453003883362,1.31264996528625,1.29009997844696,1.30320000648499,1.20408999919891,1.22393000125885,..,..,..,..
Chad,TCD,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,1.59455001354218,1.69279003143311,..,..,..,2.31140995025635,1.98137998580933,2.2564001083374,2.20763993263245,2.84970998764038,..,..
Channel Islands,CHI,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,3.4905800819397,3.22680997848511,3.02448010444641,3.22456002235413,3.79461002349854,4.2432198524475,4.18115997314453,4.07882022857666,4.57505989074707,4.55840015411377,4.75012016296387,4.92324018478394
China,CHN,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..
Colombia,COL,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,4.07620000839233,3.99684000015259,3.89228010177612,4.05938005447388,3.91051006317139,4.74411010742188,4.82548999786377,4.45905017852783,4.38688993453979,4.9066801071167,4.65940999984741,4.49099016189575
Comoros,COM,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,7.69660997390747,..,..,4.94434976577759,4.88066005706787,4.30224990844727,4.86861991882324,4.34328985214233
"Congo, Dem. Rep.",COD,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,1.60178005695343,..,..,2.2453498840332,..,..
"Congo, Rep.",COG,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,2.28422999382019,1.83616995811462,..,..,..,..,6.2178897857666,..,..,..,..,..
Costa Rica,CRI,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,4.91483020782471,..,4.62143993377686,4.66442012786865,4.92005014419556,6.05361986160278,6.63340997695923,6.44651985168457,6.68167018890381,6.86616992950439,6.92723989486694,7.17601013183594
