Country Name,Country Code,Series,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Afghanistan,AFG,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,2.59249997138977,..,..,..,..,..,..,..,..,..,..,..,..,6.8397102355957,7.85832023620605,..,..,..,..,9.19377040863037,..,9.77297019958496,..,..,10.7711601257324,..
Albania,ALB,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,11.6322202682495,11.7966403961182,10.6972799301147,10.161190032959,10.1287803649902,10.2069101333618,10.2721900939941,10.5530395507813,10.721489906311,10.7398900985718,10.6444997787476,10.7372903823853,10.7241802215576,10.8923301696777,10.8480195999146,11.3754100799561,11.5512504577637,11.9988803863525,12.2321395874023,12.4548196792603,13.2863702774048,14.1796798706055,14.9841604232788,15.5064601898193,15.800479888916,15.5249500274658
Algeria,DZA,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,9.60774993896484,9.65851020812988,9.76714992523193,9.7863302230835,9.85861968994141,9.84597969055176,10.0023803710938,..,..,10.749340057373,..,11.1487703323364,11.4922399520874,11.7222604751587,12.037070274353,12.2513198852539,12.340259552002,12.5731496810913,..,13.5737495422363,14.018630027771,14.357780456543,..,..,..,..
American Samoa,ASM,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,3.78095006942749,3.56619000434875,3.54707002639771,..,..,..,..,..,4.20637989044189,..,..,..,..,..,..,..,..,..,..,..,9.38619041442871,10.3503704071045,..,..,..,..
Antigua and Barbuda,ATG,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14.3855600357056,..,14.0977296829224,14.0535402297974,13.7600202560425,13.9489002227783,..,..,..
Arab World,ARB,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,8.49376106262207,8.53226566314697,8.35257434844971,8.46225738525391,8.76522636413574,8.70346736907959,8.85659790039063,8.99110126495361,9.14433670043945,9.32894515991211,9.43847560882568,9.59740734100342,9.75890064239502,9.90971565246582,10.1251649856567,10.4270830154419,10.4971599578857,10.5662145614624,10.6781663894653,10.7805194854736,10.9248876571655,11.0694818496704,11.3431663513184,11.339334487915,11.3779230117798,..
Argentina,ARG,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,13.2074604034424,..,..,13.1119604110718,..,..,..,13.980299949646,15.0475702285767,15.6082096099854,16.2497005462646,16.3724708557129,16.2805194854736,16.3440799713135,16.0970993041992,16.2841796875,16.3015804290771,16.4713191986083,16.7828807830811,17.0623607635498,17.2382392883301,17.2899303436279,17.1361904144287,17.2868194580078,..
Armenia,ARM,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,10.7372303009033,10.6343297958374,10.7666702270508,10.4484596252441,..,10.0067701339722,10.3727502822876,11.0284996032715,11.2294797897339,11.0511102676392,10.8069696426392,..,..,10.8894901275635,11.2216300964355,11.7002801895142,12.2550401687622,11.9458999633789,12.3234796524048,..,..,..,..,..,13.1903400421143
Aruba,ABW,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..,..,..,13.3170900344849,13.1591396331787,13.0578098297119,13.1804504394531,13.0192499160767,12.994589805603,13.1635398864746,13.3986701965332,13.8483295440674,13.3744897842407,13.5375900268555,13.4792098999023,13.2556200027466,13.6902799606323,..,..,..
