,Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
14,"Bahamas, The",BHS,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,-17300000.0,-1300000.0,300000.0,27100000.0,23400000.0,106800000.0,87800000.0,210000000.0,146900000.0,149300000.0,250250000.0,102370000.0,152790000.0,190200000.0,273600000.0,563414700.0,706380000.0,713350000.0,860156197.03,663960000.0,871970000.0,666621000.0,526171000.0,382252000.0,251277428.82,76075924.75
15,Bahrain,BHR,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,-182712765.957447,619414893.617021,868617021.276596,-275000007.923316,208244700.235544,430586743.724591,2048151879.61006,329284164.223769,179454413.27302,453737837.974614,363562321.906707,80358858.3697633,216986881.649308,516700276.442675,865308118.622995,1048601306.14142,2914659868.30074,1756312514.78198,1793998354.54447,257149561.420298,155771009.169721,780851063.829788,891223404.255319,988829787.234043,957712765.957447,-1462765957.4468
16,Bangladesh,BGD,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,3238781.18895631,1390444.32247979,3721853.382288,14049886.5245761,11147788.327757,1896372.12711773,13529831.5362586,139376153.115317,190059372.97475,179662970.340192,280384629.677983,78527040.0772574,52304931.038967,268285231.831689,448905400.707685,760504265.755651,456523167.703824,651029738.054822,1328422986.51751,901286583.13086,1232258246.59254,1264725163.33408,1584403459.98466,2602962095.36816,2539190939.68371,3380251354.53116
17,Barbados,BRB,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,11200000.0,7400000.0,14450000.0,9400000.0,12950000.0,11750000.0,13300000.0,14800000.0,15750000.0,17350000.0,19400000.0,18550000.0,17400000.0,58250000.0,-12100000.0,238261395.8643,342244377.215,451704576.96,462037883.775,458155604.11,668827625.285,387635239.865,437173278.311957,-8083630.0259665,485583034.787356,254424001.8864
18,Belarus,BLR,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,7287682988.79307,5825475306.284098,7000000.0,17600000.0,10500000.0,14700000.0,104500000.0,351600000.0,203200000.0,444000000.0,118800000.0,95800000.0,247100000.0,171800000.0,163800000.0,306600000.0,357100000.0,1807300000.0,2187900000.0,1876500000.0,1393400000.0,4002400000.0,1463600000.0,2246100000.0,1862000000.0,1652300000.0
20,Belize,BLZ,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,17200000.0,13600000.0,15600000.0,9200000.0,15369500.0,21050000.0,16580000.0,11955000.0,17650000.0,53579000.0,29564651.9166666,61174888.8668778,25461176.8782397,-10924755.7533455,111496166.355423,126908465.922063,108828544.570357,140373737.268583,169668449.489583,108840086.423874,96449877.0838033,95348525.1917313,194201408.788436,92247730.9426541,141097030.34391,59119223.8981489
21,Benin,BEN,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,62376777.1352232,120780806.62353,77571726.5958986,1403787.18368037,13648839.8950778,13329502.1175034,35517375.9810328,27015294.5261156,37952254.6845812,39264307.4264209,-12763065.7457853,16724905.8293049,-19304487.4077906,10614240.6548008,-40701529.9726062,-8785364.69529622,-12352499.8489782,139006086.840239,48016408.3225725,-18732013.5573172,53454932.9907285,161091309.01743,281564661.094923,360240965.326816,405197656.01573,149695382.069113
23,Bhutan,BTN,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,1600000.0,600000.0,10.0,10.0,10.0,50000.0,1400000.0,-700000.0,24861621289.594456,1050274.7623,49392873794.994545,28681232749.973385,2425411.89830139,3370306.52615852,8859907.53919654,6210884.3537415,6122702.14271106,73855769.764882,3144001.01949936,18299707.2343963,75274009.0283126,31141614.8601365,24380673.5733894,20433631.0650379,28951712.7840704,10768411.2863194
24,Bolivia,BOL,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,27200000.0,52000000.0,93100000.0,123800000.0,130200000.0,392700000.0,474100000.0,730600000.0,949300000.0,1010500000.0,736350000.0,705756000.0,676543000.0,197400000.0,65430000.0,-238620000.0,280763457.0,366294241.538303,512335605.237139,423040000.0,621997989.548348,858941070.400943,1059965390.78481,1749612614.39791,656566350.80003,503444026.767183
26,Botswana,BWA,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,95889963.0424101,-8211493.78284392,-1564184.90561567,-286949434.086852,-14154569.0110668,70413220.7555473,71182310.7136662,100109748.737479,95318134.9210105,36675065.7829259,57171313.1719089,30680473.5531892,407997828.632639,418040911.863625,390889365.258246,420853645.921794,486912042.119022,494635511.689802,520918009.896953,208699416.069409,218380384.210613,1371087723.99501,542804860.564885,398456549.594684,515184275.524134,393471406.232658
27,Brazil,BRA,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,989000000.0,1103000000.0,2061000000.0,1292000000.0,3072000000.0,4859000000.0,11200000000.0,19650000000.0,31913000000.0,28576000000.0,32994718699.75,23225846372.251,16586600193.114,10123013670.9901,18181190855.2842,15459981604.1196,19378093068.2773,44579492463.6336,50716402711.4787,31480932200.0,88452079263.99,101157817518.34,86606502980.75,69181422946.63,96894980842.28,74693632858.27
30,Bulgaria,BGR,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,4000000.0,55900000.0,41500000.0,40000000.0,105400000.0,90400000.0,109000000.0,504800000.0,537317256.150851,818788154.863275,1001503841.99968,812942201.973002,904659791.087722,2096788700.05598,3072550961.81564,4098122930.77934,7874476255.43262,13875270456.9117,10296720633.7243,3896664559.17164,1842900000.0,2103810000.0,1788110000.0,1989040000.0,2067540000.0,2778170000.0
