name,id,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015
Costa Rica,CRI,16.23428362,18.15806531,18.75574632,20.89440452,20.61833131,20.20574147,20.2736801,23.12664172,23.05170196,22.56308955,22.32367424,22.32762551
Cote d'Ivoire,CIV,1.394745062,1.479426211,1.605010262,1.855492888,2.489976917,2.765753429,4.381247906,4.40216875,4.623214294,4.549795689,4.727949827,4.831833436
Croatia,HRV,28.83948902,30.7221055,30.76476027,32.66652505,34.3656424,35.68708219,35.19183083,35.94573352,35.63953023,34.67557939,33.93697459,33.45976889
Cyprus,CYP,67.0892547,62.43534131,60.60131686,60.72288148,61.43004112,60.66579873,58.39744197,55.90928583,52.31697884,39.24563973,37.69031265,35.88943586
Czech Republic,CZE,21.00100013,21.37664528,21.8954673,21.59075803,22.81422167,22.74373579,22.61347948,23.29110465,23.82996162,24.28829087,24.20078399,23.64985097
Denmark,DNK,50.08224691,50.20243282,50.52423899,51.8622714,50.4558687,45.80307785,40.86845513,38.73324119,34.09374258,30.02571642,27.79759268,24.73591881
Djibouti,DJI,2.11572598,2.058515358,2.41071321,2.352466071,3.062107189,3.553228295,4.391132839,5.025775046,5.288589516,5.025143043,5.621738753,6.36285699
Dominica,DMA,21.86523979,21.79797834,21.75234104,21.72007894,21.69372594,21.65889131,21.606545,21.53543302,21.45041485,21.35508629,19.48457407,19.39369252
Dominican Republic,DOM,9.942528545,9.90675008,9.891006515,9.900542425,10.02921774,10.18628143,10.22577449,10.65190837,10.48718898,11.66237739,11.57404537,12.57084321
Early-demographic dividend,EAR,5.513264358,6.320933768,6.782535329,6.955732823,7.30204768,7.647267469,8.247249258,8.276175326,9.710566099,10.24268107,10.77544355,10.97055497
East Asia & Pacific,EAS,14.06401328,12.07493732,11.14333421,10.75544606,10.32972312,10.21647928,10.22326379,11.20357268,10.44386774,10.20964815,10.07644451,9.992606963
East Asia & Pacific (excluding high income),EAP,7.776328489,6.649350053,5.720283982,5.970074736,3.308984354,3.947805518,4.10372633,4.259815657,6.058936939,6.271284921,6.820572537,7.273814799
East Asia & Pacific (IDA & IBRD countries),TEA,7.776328489,6.649350053,5.720283982,5.970074736,3.308984354,3.947805518,4.10372633,4.259815657,6.058936939,6.271284921,6.820572537,7.273814799
Ecuador,ECU,12.7904064,14.79637943,14.30856905,13.99789339,17.57876017,24.46671262,33.86159549,41.84559128,77.29466987,78.59392873,77.15330468,75.74576858
"Egypt, Arab Rep.",EGY,3.783871718,3.794754548,3.909591229,4.205671795,4.44673002,4.572776654,4.604377669,4.617570998,4.579977942,4.584026925,4.592384484,4.648178275
Equatorial Guinea,GNQ,3.107379744,3.25969147,3.671302998,3.799988853,3.917862023,4.023982938,4.346970619,4.432427641,5.363863011,6.02289531,6.234163214,6.818863705
Estonia,EST,18.41374491,20.87979742,22.62601519,24.02214518,23.82330696,20.27655947,19.469407,17.33943508,16.0008254,13.93352095,12.38083067,11.17241211
Euro area,EMU,33.60374054,31.91566332,33.70988261,37.40457916,36.66019876,35.39429927,34.20988644,35.51371592,32.08962518,29.66616573,28.05474936,27.51794312
Europe & Central Asia,ECS,23.67292705,25.08166982,26.37115429,26.18316513,27.53638188,25.51434049,25.82843521,24.21985624,24.53420937,24.57580777,24.57340348,24.19288489
Europe & Central Asia (excluding high income),ECA,9.670207822,12.23153792,13.76968007,15.96098151,21.94465692,21.68115245,21.90784767,22.99186905,23.50287829,22.71701011,21.9534481,22.20923864
Europe & Central Asia (IDA & IBRD countries),TEC,10.2313413,12.59334932,13.91843307,17.22375253,23.28914326,23.72983753,23.61069967,23.40929859,23.85583415,23.33832823,23.44973553,23.47360798
European Union,EUU,29.02729873,28.32138025,30.76476027,32.66652505,33.91940926,34.75783591,33.14900603,32.74848596,33.20473958,30.02571642,28.05474936,27.51794312
