name,id,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014
Romania,ROU,15,21.5,24.66,28.3,32.42,36.6,39.93,40.00999678,45.87999425,49.7645,54.08
Russian Federation,RUS,12.8593889,15.2266732,18.02327746,24.66,26.83,29,43,49,63.8,67.97,70.52
Rwanda,RWA,0.430854243,0.556041165,22.25778137,2.115387178,4.5,7.7,8,7,8.023854277,9,10.6
Samoa,WSM,3.07552941,3.352592112,4.469173873,4.749983235,5.031615316,6,7,11,12.92249,15.3,21.2
Sao Tome and Principe,STP,13.32285269,13.75948422,14.18201978,14.5904832,15.48,16.41,18.75,20.1612,21.5724,23,24.41
Saudi Arabia,SAU,10.234533,12.70503599,19.45955435,30,36,38,41,47.5,54,60.5,64.71365737
Senegal,SEN,4.38602398,4.786684083,5.611738652,6.89,7.12,7.5,8,9.8,10.8,13.1,17.7
Serbia,SRB,23.5,26.3,27.2,33.15,35.6,38.1,40.9,42.2,48.1,53.45036418,62.07508046
Seychelles,SYC,24.27213922,25.41326815,34.95197117,38.38,40.44,30.10538232,41,43.16400446,47.076,50.4,51.25470199
Sierra Leone,SLE,0.203007681,0.21539161,0.227669467,0.239834699,0.25,0.26,0.58,0.9,2.5,4,6.057298984
Singapore,SGP,62,61,59,69.9,69,69,71,71,72,80.90205685,79.02923586
Slovak Republic,SVK,52.89,55.19,56.08,61.8,66.05,70,75.71,74.43999717,76.70999012,77.8826,79.98
Slovenia,SVN,40.81,46.81,54.01,56.74,58,64,70,67.33999481,68.34997453,72.6756,71.59
Small states,SST,12.62351396,13.69096006,15.31549251,17.31042684,19.97365678,22.44019508,25.95945842,30.23124678,32.95249569,37.12852999,40.64584185
Solomon Islands,SLB,0.649672673,0.844307573,1.646347989,2,3,4,5,6,6.9974,8,9
Somalia,SOM,1.053454744,1.077327839,1.100216368,1.122235622,1.142687372,1.160610542,33.40111619,1.25,1.3767,1.5,1.63
South Africa,ZAF,8.425118683,7.48854253,7.607139675,8.065375174,8.43,10,24,33.97,41,46.5,49
South Asia,SAS,2.184376036,2.546688328,2.983348306,3.973400118,4.416823408,5.157112647,7.206545642,9.393092787,11.5120098,13.74662379,19.07094498
South Asia (IDA & IBRD),TSA,2.184376036,2.546688328,2.983348306,3.973400118,4.416823408,5.157112647,7.206545642,9.393092787,11.5120098,13.74662379,19.07094498
Spain,ESP,44.01,47.88,50.37,55.11,59.6,62.4,65.8,67.08999939,69.80999994,71.635,76.19
Sri Lanka,LKA,1.44615998,1.792046794,2.537566129,3.88,5.8,8.78,12,15,18.2854,21.9,25.8
St. Kitts and Nevis,KNA,24.73767754,34,38.5,43.5,49.2,55.7,63,63.2,64,64.6,68
St. Lucia,LCA,21.39521236,21.56758295,24.5,27.9,32,36,43.3,44,45.9,46.2,50
St. Vincent and the Grenadines,VCT,7.371165842,9.198278082,12,16,21,31,33.7,36.7,40,43.5,47.4
Sub-Saharan Africa,SSF,1.506041597,2.044469415,2.724794194,3.502090818,3.91717389,4.647590094,7.154989899,8.489822936,10.36621995,12.41703625,14.76994239
Sub-Saharan Africa (excluding high income),SSA,1.503376167,2.041749965,2.720841374,3.498191793,3.912949364,4.647590094,7.151372933,8.486197559,10.36245919,12.41327101,14.76640037
Sub-Saharan Africa (IDA & IBRD),TSS,1.506041597,2.044469415,2.724794194,3.502090818,3.91717389,4.647590094,7.154989899,8.489822936,10.36621995,12.41703625,14.76994239
Sudan,SDN,0.791561615,1.292040678,22.25778137,8.66,27.48731915,30.10538232,16.7,17.46,21,22.7,24.64
Suriname,SUR,6.076047814,6.403086288,9.499626942,14.11,21.06,31.36,31.59,32,34.6812,37.4,40.08
Swaziland,SWZ,3.228685073,3.696961073,3.696538789,4.1,6.85,8.94,11.04,18.13,20.78178258,24.7,26.17500573
Sweden,SWE,83.89,84.83,87.76,82.01,90,91,90,92.76998606,93.17998801,94.7836,92.52
Switzerland,CHE,67.8,70.1,75.7,77.2,79.2,81.3,83.9,85.19302818,85.2,86.34,87.4
Syrian Arab Republic,SYR,4.321593778,5.648106049,7.832551569,11.5,14,17.3,20.7,22.5,24.3001,26.2,28.09
