name,id,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014
Sweden,SWE,4635898,4748517,4798464,4849240,4909031,4923720,4974003,5038028,5089460,5152402,5192592
Switzerland,CHE,4147794,4171957,4236387,4307658,4409719,4479591,4510957,4581654,4642458,4708639,4795052
Syrian Arab Republic,SYR,5172657,5209549,5322421,5439422,5677806,5643967,5773189,5669584,5480081,5257304,5027753
Tajikistan,TJK,2711535,2806902,2907249,3004718,3101227,3200338,3302988,3399843,3502209,3605724,3705277
Tanzania,TZA,18755286,19332112,19910373,20306263,20699501,21066287,21393331,21668451,21854095,21773966,22470901
Thailand,THA,37360164,37874679,38008057,38837289,39170235,39223645,39378492,40167490,40230493,39805031,39988092
Timor-Leste,TLS,258567,257200,258277,256079,252096,248437,246377,251906,259963,269566,279184
Togo,TGO,2529592,2612721,2692177,2768639,2848531,2930674,3015296,3100455,3188821,3281195,3376706
Tonga,TON,39582,39896,40325,40836,41200,41472,41700,41814,41967,42137,42291
Trinidad and Tobago,TTO,636761,655372,661169,664300,668522,664753,671259,673684,675279,675932,675376
Tunisia,TUN,3402346,3438710,3512926,3589176,3665539,3738673,3806039,3889216,3996469,4029441,4057228
Turkey,TUR,21902362,22353108,22657351,23027056,23756899,24700815,25640706,26647250,27153513,27879996,28719545
Turkmenistan,TKM,1897589,1939004,1977910,2024749,2076551,2128009,2174199,2226856,2272735,2313799,2354589
Uganda,UGA,11005854,11223100,11778873,12363713,12975424,13611307,14270644,14942778,15642575,16369071,16989652
Ukraine,UKR,23220868,23431405,23356236,23271769,23179708,23104159,23063322,22973097,22715846,22838230,22734425
United Arab Emirates,ARE,2527471,2907562,3390981,3992668,4646213,5251025,5781880,6056235,6201503,6253231,6274120
United Kingdom,GBR,30344200,30654301,31184303,31366020,31792730,31967185,32127930,32346398,32683240,33071036,33415984
United States,USA,150284082,152192954,154143488,155528716,157343255,157460888,157264492,157300455,158582735,159091418,159829705
Upper middle income,UMC,1232758221,1247304116,1257743992,1268637842,1278634340,1286951115,1291951878,1303293204,1316275740,1326703466,1338319239
Uruguay,URY,1585653,1593110,1632419,1654500,1676462,1699022,1708950,1739458,1740449,1736387,1750381
Uzbekistan,UZB,10162405,10446694,10747501,11075624,11421817,11774384,12262758,12700436,12999614,13308935,13619472
Vanuatu,VUT,91077,92983,95297,97257,98985,100696,103739,106511,109681,113056,116266
"Venezuela, RB",VEN,12028599,12159078,12277012,12438889,12760908,13008204,13215129,13475826,13611859,13867502,14219791
Vietnam,VNM,45177834,46198299,47099813,48043678,49030268,49972439,51022527,52002529,52955188,53858122,54533375
Virgin Islands (U.S.),VIR,53912,54279,54458,54476,54367,54144,53846,53228,52648,52073,51471
West Bank and Gaza,PSE,702476,734662,769256,814840,864597,871187,893891,969070,1020913,1063550,1110129
World,WLD,2978220272,3029922290,3065607383,3101211280,3137374127,3169516370,3199360950,3235093079,3275071610,3317109099,3360432641
"Yemen, Rep.",YEM,5089436,5306730,5532495,5775142,6030219,6292692,6545445,6811078,7083064,7359875,7642054
Zambia,ZMB,4947377,5079379,5118130,5155740,5193100,5360072,5531068,5735186,5941617,6158070,6385092
Zimbabwe,ZWE,6442074,6492630,6560249,6629623,6701665,6776861,6854979,6952012,7097284,7253392,7419111
