name,id,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014
OECD members,OED,71.44282989,78.74653668,86.18371295,94.10815207,98.18069713,100.0099738,101.3448704,104.8156186,107.3580318,109.0202185,110.3946249
Oman,OMN,32.72238932,52.85698711,71.15818396,97.28614462,124.1303432,149.0885859,164.3422859,158.9952836,159.25134,154.6459078,157.7532566
Pakistan,PAK,3.2374237,8.084502503,21.44519233,38.34402045,52.7038814,55.46464341,57.28341989,61.81345992,67.06360938,70.13037598,73.33219105
Palau,PLW,19.81317849,30.39634299,41.70497701,53.14146535,57.67747676,62.64254817,70.89399121,74.95389692,82.63949118,85.78736017,90.60055932
Panama,PAN,38.14169619,51.9541559,63.42264232,86.2390627,110.1806117,167.7804586,180.6992035,180.0781064,163.4167491,162.9742998,158.0542825
Papua New Guinea,PNG,0.812159649,1.230323235,1.601076692,4.689241614,13.34172509,21.14216485,27.83340587,34.22227108,37.7981892,40.97654202,44.92845743
Paraguay,PRY,30.19071933,31.96046184,53.74829108,76.63906251,92.86007628,88.51898491,91.65810722,99.32993534,101.5901938,103.6899605,105.604533
Peru,PER,14.93424737,20.13959315,32.53576937,54.42326978,73.19257415,85.36705031,99.49532906,109.6118145,98.00011004,98.08298127,102.9158073
Philippines,PHL,39.1016922,40.52493944,49.06786375,64.52260075,75.37478912,82.26097224,88.98361743,99.09141423,105.4510985,104.5023215,111.2187234
Poland,POL,60.42064117,76.339145,96.20698849,108.3783985,115.0213925,117.3145306,122.9152946,131.2936783,141.5464567,149.0785439,156.4493733
Portugal,PRT,100.8873537,108.9082765,116.0366893,127.6765737,132.9171729,111.4775969,115.3032751,116.3901378,112.3895255,113.035602,111.796269
Puerto Rico,PRI,48.97574889,53.00157426,58.63957269,65.03405211,68.21954813,72.93243111,79.09024816,83.97889108,82.55282485,83.64642094,87.11106333
Qatar,QAT,68.06559844,87.28674958,95.05695524,109.696397,105.1777849,124.5951299,124.9603221,120.4784442,126.8564857,152.6441746,145.7647461
Romania,ROU,46.10214303,60.38971904,72.47089777,92.66014887,111.4046999,114.5422524,111.4288898,107.3871984,104.9886091,105.5829217,105.91415
Russian Federation,RUS,51.07845314,83.37214422,104.8422057,119.176587,138.8686388,160.1018962,165.5010987,142.0484328,145.3276296,152.8353524,155.144239
Rwanda,RWA,1.483308604,2.36469608,3.252279849,6.397339361,12.93790517,23.07054695,32.74752019,39.89652123,49.66704344,56.80079399,64.02469114
Samoa,WSM,8.948846158,13.3386688,25.12798705,47.190518,74.54356465,81.98647235,48.37955373,94.91798075,53.10102759,52.46937575,55.53012808
San Marino,SMR,58.33048822,57.59865659,57.71656157,57.60937551,79.87822842,97.56010164,99.11214802,114.2263592,115.2110603,116.9549733,118.8481841
Sao Tome and Principe,STP,5.134511608,7.730815251,11.60157677,18.42156803,30.04463516,46.65723851,57.63965258,62.8015526,64.95124882,64.93966102,64.93769014
Saudi Arabia,SAU,38.49018452,57.36794477,77.6448435,109.5864024,136.5376287,167.4269561,189.1688419,194.5123877,187.3595577,184.2042369,179.5611716
Senegal,SEN,10.22390743,15.35030352,25.75017105,30.49821024,44.03321374,54.83107061,64.42744115,70.16017194,83.56861759,92.92798275,98.84217748
Serbia,SRB,47.18490531,67.01974719,81.46443476,104.4842619,119.8285932,124.4012204,125.300784,130.248336,117.7744571,119.3917104,122.132822
Seychelles,SYC,63.40334224,67.52015064,79.7415259,86.69867839,103.9754399,122.1811277,128.9218051,137.903463,147.8032034,147.342683,162.1932137
Singapore,SGP,91.20739002,97.53228591,103.7771628,125.190588,132.3000341,138.6858844,145.3956502,150.1160495,152.1251818,155.9222113,158.1301198
Slovak Republic,SVK,79.34105099,84.2137302,90.65912525,112.2526739,101.9316827,101.3396205,109.04722,109.9775874,111.9121915,113.9111556,116.9401341
Slovenia,SVN,92.68311392,87.94625338,90.56940742,95.45856855,101.1035341,102.7485413,103.2965118,105.1696645,108.3881402,110.2112117,112.0830105
Solomon Islands,SLB,0.655269348,1.278483548,1.456073386,2.21478092,5.957806812,9.709416581,21.93953048,51.09173471,54.97600064,57.57076854,65.75650459
Somalia,SOM,6.060631772,5.905322562,6.33081064,6.733363626,6.859761851,6.833066584,6.726736849,18.16731553,22.55978195,49.38267841,50.89929334
South Africa,ZAF,43.82265902,70.40479553,81.0762872,85.27748184,89.52108369,91.24860878,97.90028646,123.1976544,130.557982,145.6440213,149.6818056
South Asia,SAS,4.27225093,7.799621923,15.06016467,22.502563,32.18016326,44.39865425,59.72472422,69.84456295,69.00741955,71.49024036,75.02359479
Spain,ESP,90.42919646,98.40193058,103.7617236,108.4148248,109.6808813,111.5801838,111.275767,113.0635394,108.3640175,106.8867146,107.8492701
Sri Lanka,LKA,11.20278283,16.84991212,26.87761576,39.32382822,54.18660423,79.14612039,83.62395495,87.54590803,91.63310875,95.49632054,103.1578481
St. Kitts and Nevis,KNA,59.89136945,103.7872159,102.3623628,127.7784381,145.7640383,145.9473043,152.8117359,145.3625569,141.8333831,142.0900149,139.8090858
St. Lucia,LCA,61.78881684,63.87637766,62.98536306,86.39486568,101.3378953,108.2979452,111.7335693,120.7836181,119.4227898,116.3090529,102.5888082
St. Vincent and the Grenadines,VCT,66.32154898,64.93852817,80.46608146,101.326058,119.1832023,110.8605113,120.5596619,120.5309217,116.1090946,114.6334104,105.1622459
Sub-Saharan Africa,SSF,7.403683227,12.02493278,17.75584378,23.17776271,31.89438616,37.679212,44.41018352,53.09439045,59.72096379,66.08030593,71.12352296
Sub-Saharan Africa (excluding high income),SSA,7.394588298,12.01525736,17.7473906,23.17043619,31.89011607,37.67665134,44.39102611,53.07449989,59.70530865,66.07111692,71.11851121
Sudan,SDN,2.795882758,4.75898144,11.89555131,20.3550956,28.95430467,36.11230146,41.544029,68.77724454,74.36035887,72.85231291,72.19898961
Suriname,SUR,43.13368221,46.60145779,63.34300634,74.4465973,127.5013,146.8572956,99.27727827,100.7099428,106.4593736,161.067802,170.5749874
Swaziland,SWZ,13.24493632,18.10541334,22.35630041,33.48085468,46.07241867,56.61109776,60.83084412,63.23757857,65.39478548,71.46778668,72.31972132
Sweden,SWE,97.81454363,100.8176707,105.6913243,110.456172,108.4404554,112.1339335,117.1611493,121.2222926,124.57217,125.5274913,127.8377463
Switzerland,CHE,85.43372768,92.24719407,99.3850712,108.5154861,116.25028,120.4037109,123.1609109,127.383212,132.0563723,136.7772396,140.5386879
Syrian Arab Republic,SYR,13.27222453,16.23790613,24.86052316,31.87224564,34.6807165,47.65156589,54.31752074,59.24043734,59.29734384,56.12894219,70.9474196
Tajikistan,TJK,2.025831908,3.893820654,30.91513694,29.99244131,50.49337123,65.79480935,77.88892202,80.9228584,81.50840493,91.8281242,95.12606037
Tanzania,TZA,5.142308625,7.634377406,14.04274015,20.06824321,30.709868,40.03113033,46.65843734,55.36980391,56.96423843,55.71793149,62.77433234
Thailand,THA,41.42975138,46.46198345,60.90324472,80.17018406,93.43030345,99.50960309,108.0177685,116.331131,127.2920547,140.0511818,144.4387195
Timor-Leste,TLS,2.660015078,3.321752598,4.823121119,7.551853518,11.90218654,32.9725585,43.82046413,56.02069885,55.73975905,57.37594218,58.73629754
Togo,TGO,6.161062986,7.827044226,12.45197504,20.40031837,25.87965477,35.59849145,41.26668606,41.64413476,49.86113051,62.53490181,68.96513263
Tonga,TON,16.34785036,29.58795563,29.5728077,45.48387412,49.02716932,51.17954363,52.16238544,52.60439581,53.36331844,54.59396333,64.28314836
Trinidad and Tobago,TTO,50.46494092,71.25271699,116.519036,115.2483894,137.1963517,139.6083078,142.6283511,136.9908228,140.8425356,144.9406517,147.3377795
Tunisia,TUN,37.55460363,56.51703373,72.23298695,76.33512661,82.7810914,93.20555476,104.5370929,115.2010779,118.1056496,115.6035799,128.4857675
Turkey,TUR,51.92193776,64.3740778,76.73832278,89.17829733,93.54864342,88.12268708,85.62758012,89.41002295,91.46374843,92.96497103,94.7933028
Turkmenistan,TKM,1.06666644,2.211532447,4.516582511,7.85614367,23.08368224,42.83804536,63.41981696,103.7858737,114.0552619,116.893432,135.7804374
Tuvalu,TUV,5.18349575,13.41035692,16.4406083,18.4350676,74.54356465,10.19575856,16.28167294,21.63754571,28.39756592,34.42689348,38.40711542
Uganda,UGA,4.195756068,4.578959089,6.761102482,13.65261655,26.92003559,28.55294653,37.74438345,47.50472743,45.00206351,48.08192773,52.42923963
Ukraine,UKR,28.94597129,63.67435357,104.7041786,118.4064976,119.8447225,118.750841,117.1087348,121.3388196,130.3399209,138.0646549,144.082159
United Arab Emirates,ARE,100.6685238,109.2858728,113.2014286,133.3628641,137.6413795,138.2668687,129.4316308,131.3980376,149.6390858,171.8737993,178.0615447
United Kingdom,GBR,99.50619762,108.5920211,115.6002598,121.1018108,122.1864624,123.9547246,123.6254863,123.6041988,124.7618169,124.6098071,123.5810846
United States,USA,62.54719598,68.31769507,76.29353842,82.06414479,85.20916517,88.62364611,91.31165202,94.44042596,96.01037609,97.07773939,98.4068578
Upper middle income,UMC,27.92066638,35.28725066,42.72958433,51.71609571,60.46525403,67.88296631,75.40171444,84.39337066,91.39855672,98.60299449,101.3986986
Uruguay,URY,18.04452826,34.73290719,69.96574097,89.9933321,104.7453819,122.3521626,131.589018,140.6072022,147.1306851,154.618466,160.7951457
Uzbekistan,UZB,2.110190903,2.764509731,9.606295141,21.34114016,45.79499837,59.93517855,75.45030892,90.3737516,71.03391446,74.30678167,73.79116465
Vanuatu,VUT,5.145614422,6.061850746,6.987989975,11.8181281,15.97174775,57.04643617,71.91524298,56.64535235,59.08065129,50.34122874,60.41440025
"Venezuela, RB",VEN,32.06608836,46.75510423,69.10208356,86.13026924,97.48959044,98.39250828,95.99511185,97.56403127,102.0507277,101.614434,98.95200348
Vietnam,VNM,5.894190884,11.293046,22.03265688,52.0189288,85.69645531,111.3650605,125.2930515,141.5998702,145.0218721,134.9650058,147.1108877
West Bank and Gaza,PSE,12.5117523,15.94401571,22.58418848,27.42174925,34.43060748,45.98834706,64.88063436,70.1221307,74.30363013,73.74053318,72.07515264
World,WLD,27.40006942,33.91292587,41.76468389,50.52487555,59.70663668,67.89625747,76.56502837,84.28434668,88.55751276,93.14403717,96.26504895
"Yemen, Rep.",YEM,7.52573741,11.30882491,14.41207153,20.5314264,29.69557406,37.39604244,48.6974305,50.06821515,58.27503629,69.01477877,68.48627079
Zambia,ZMB,4.155423212,8.278615333,14.11800015,21.79280605,28.41083233,34.36001051,41.21205404,59.88466455,74.77514723,71.50463179,67.33816426
Zimbabwe,ZWE,3.354159171,5.091109468,6.673415953,9.620397232,12.94364591,30.96458524,58.88210564,68.86878087,91.90938245,96.3498668,80.81642131
