name,id,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014
Afghanistan,AFG,9,9,9,9,9,7,7,7,7,5,7
Albania,ALB,39,40,38,36,9,6,6,5.5,4.5,4.5,4.5
Algeria,DZA,24,24,24,24,24,24,24,24,24,24,22
Angola,AGO,83,83,83,83,68,68,66,66,66,66,66
Antigua and Barbuda,ATG,47.77269403,25,21,21,21,21,21,21,21,21,21
Arab World,ARB,41.875,39.5,38.27777778,31.7,20.2,19.65,19.675,19.125,20.73809524,19.47619048,18.66666667
Argentina,ARG,30,30,30,30,30.5,25.5,25,25,25,25,25
Armenia,ARM,18,18,17,17,17,14,14,8,8,4,3
Australia,AUS,3,3,3,3,2.5,2.5,2.5,2.5,2.5,2.5,2.5
Austria,AUT,25,25,25,25,25,25,25,25,25,25,22
Azerbaijan,AZE,121,113,51,36,10,10,8,8,8,7,5
Bangladesh,BGD,51.5,51.5,43.5,67.5,66.5,43.5,26.5,26.5,26.5,21.8,19.5
Belarus,BLR,79,79,69,48,31,10,10,10,10,9,9
Belgium,BEL,34,34,27,4,4,4,4,4,4,4,4
Belize,BLZ,47.77269403,57,44,43,43,43,43,43,43,43,43
Benin,BEN,34,34,34,34,34,34,34,32,29,18,12
Bhutan,BTN,62,62,62,48,46,46,46,36,36,32,17
Bolivia,BOL,60,50,50,50,50,50,49,49,49,49,49
Bosnia and Herzegovina,BIH,63,63,63,63,69,69,64,40,37,37,37
Botswana,BWA,125,125,105,105,74,59,59,59,59,60,60
Brazil,BRA,156,156,151,152,147,122,122,122,122,86.6,83.6
Bulgaria,BGR,32,32,32,32,49,18,18,18,18,18,18
Burkina Faso,BFA,40,40,34,18,16,14,14,13,13,13,13
Burundi,BDI,13,13,13,13,13,13,13,13,7,5,5
Cabo Verde,CPV,47.77269403,60,52,52,52,24,11,11,11,10,10
Cambodia,KHM,94,87,86,86,102,102,102,102,102,101,101
Cameroon,CMR,45,45,45,38,38,35,19,15,15,15,15
Canada,CAN,3,3,3,3,5,5,5,5,5,5,5
Central African Republic,CAF,22,22,22,22,23,24,24,22,22,22,22
Chad,TCD,62,62,62,62,62,62,62,53,60,60,60
