Country Name,Country Code,Series Name,Series Code,2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
Tonga,TON,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.314090923,0.319505505,0.36368596,0.336124023,0.347069017,0.370108979,0.317630563,0.270376747,0.2775643,0.306281531,0.319446076
Trinidad and Tobago,TTO,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,1.940987241,2.085498003,2.060679488,2.096126072,1.978833719,2.093474183,2.163333136,2.124406652,2.029593476,2.025967687,2.025983169
Tunisia,TUN,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.654103999,0.642356949,0.619237632,0.608529985,0.601104188,0.582488553,0.627913679,0.602249557,0.600970383,0.598535236,0.606558333
Turkey,TUR,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.373391365,0.360717056,0.371139056,0.38448804,0.38035676,0.390511283,0.38607504,0.374088453,0.366691502,0.333079971,0.337400082
Turkmenistan,TKM,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,3.815403173,3.505565898,3.235792864,3.297890963,2.915680405,2.434199382,2.536825951,2.411598246,2.254245156,2.104334099,1.956050307
Tuvalu,TUV,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.36268385,0.376930817,0.24602489,0.347000823,0.321346865,0.336252435,0.230458488,0.212495551,0.318188222,0.314110478,0.307240982
Uganda,UGA,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.134869618,0.15841314,0.167145863,0.175564495,0.178305696,0.177036132,0.194258543,0.193112457,0.177473407,0.205001345,0.209155448
Ukraine,UKR,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,2.726397326,2.581126501,2.351864085,2.145145258,2.030113005,1.992634619,2.239808032,1.996505353,2.057114524,1.89129224,1.692075246
United Arab Emirates,ARE,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.461359256,0.451295565,0.43820843,0.464977127,0.52277826,0.588885889,0.554755,0.536597545,0.544314804,0.497955065,0.596961569
United Kingdom,GBR,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.232777772,0.227459535,0.221446309,0.210730366,0.208955366,0.197866925,0.202992881,0.181575797,0.187524478,0.179954269,0.159951513
United States,USA,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.412867132,0.401838533,0.385152034,0.384515348,0.373987578,0.360641478,0.36055854,0.347913291,0.329390239,0.326470177,0.324790221
Upper middle income,UMC,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.973897092,0.976846794,0.968511865,0.930719224,0.932754605,0.936576363,0.937172163,0.950405632,0.934079594,0.903634841,0.871453022
Uruguay,URY,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.199919503,0.19151241,0.211772407,0.17947394,0.230573026,0.215691641,0.158570093,0.183246041,0.19821877,0.165305079,0.142396928
Uzbekistan,UZB,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,5.177276071,4.494861024,4.297670741,3.906915313,3.69465835,2.955234825,2.648388775,2.668809792,2.512777474,2.076323089,1.960871263
Vanuatu,VUT,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.112404255,0.10674379,0.079960542,0.157902773,0.142843245,0.175487465,0.172674458,0.186095765,0.157485651,0.144480259,0.204480812
"Venezuela, RB",VEN,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.510672067,0.503676109,0.47068966,0.410520903,0.434388662,0.450449777,0.480862158,0.431683498,0.459408389,0.41946557,0.508558369
Vietnam,VNM,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,1.140962491,1.149871292,1.125269507,1.072125612,1.141622415,1.180843092,1.231224193,1.235480572,1.097136283,1.077364745,1.152423085
West Bank and Gaza,PSE,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.296146681,0.3927858,0.337692933,0.325015351,0.270627562,0.253500617,0.228336381,0.224348728,0.206607238,0.224022171,0.508558369
World,WLD,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.507927922,0.508003825,0.504739309,0.493832878,0.500580581,0.504835634,0.507879396,0.512566631,0.509313648,0.501535264,0.491820973
"Yemen, Rep.",YEM,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.797417841,0.801683055,0.826377047,0.786748944,0.808568549,0.855909263,0.758155754,0.728996167,0.675850001,0.880563574,0.785415343
Zambia,ZMB,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.17230894,0.171394765,0.15909505,0.123573035,0.129046459,0.136513918,0.132815402,0.13729872,0.159305702,0.163613052,0.177854762
Zimbabwe,ZWE,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.855190929,1.029698215,1.034660558,1.016222041,0.970143564,0.643519933,0.773743735,0.817830166,0.58654466,0.834851293,0.83637038
