Country Name,Country Code,Series Name,Series Code,2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
Burundi,BDI,GDP (constant 2010 US$),NY.GDP.MKTP.KD,1612571959,1627085107,1714698066,1796760634,1887463245,1952928500,2026864469,2111823041,2196704928,2297622744,2404713060
Cabo Verde,CPV,GDP (constant 2010 US$),NY.GDP.MKTP.KD,1171578994,1252563900,1352565476,1557758965,1661358044,1640251720,1664310770,1730365372,1749086512,1763128136,1773904599
Cambodia,KHM,GDP (constant 2010 US$),NY.GDP.MKTP.KD,7186162900,8138335730,9014922681,9935578323,10600425244,10609615491,11242275199,12037055708,12917367180,13876856310,14858161722
Cameroon,CMR,GDP (constant 2010 US$),NY.GDP.MKTP.KD,20005170990,20464660331,21124441591,21812182535,22441255964,22874787500,23622483984,24600594629,25729451636,27160443493,28770233462
Canada,CAN,GDP (constant 2010 US$),NY.GDP.MKTP.KD,1.47724E+12,1.52453E+12,1.56453E+12,1.5968E+12,1.61277E+12,1.5652E+12,1.61346E+12,1.66415E+12,1.69319E+12,1.7351E+12,1.77961E+12
Caribbean small states,CSS,GDP (constant 2010 US$),NY.GDP.MKTP.KD,53530042022,55521767195,59324629678,61238104829,62108106410,59919102492,60772694300,61426893776,62197518533,63222994398,63513557488
Central African Republic,CAF,GDP (constant 2010 US$),NY.GDP.MKTP.KD,1678907492,1694155506,1774985113,1856768170,1894908620,1927297142,1986014846,2051567618,2135944447,1352053851,1366115455
Central Europe and the Baltics,CEB,GDP (constant 2010 US$),NY.GDP.MKTP.KD,1.08315E+12,1.13644E+12,1.21107E+12,1.28852E+12,1.33723E+12,1.28792E+12,1.31275E+12,1.35386E+12,1.36159E+12,1.37963E+12,1.42011E+12
Chad,TCD,GDP (constant 2010 US$),NY.GDP.MKTP.KD,7165890625,8407921035,8462426393,8739274637,9006057734,9385905830,10657705536,10666537556,11614000868,12275999076,13123041176
Chile,CHL,GDP (constant 2010 US$),NY.GDP.MKTP.KD,1.71787E+11,1.81652E+11,1.93128E+11,2.02601E+11,2.09752E+11,2.06471E+11,2.18538E+11,2.31892E+11,2.44226E+11,2.54105E+11,2.58957E+11
China,CHN,GDP (constant 2010 US$),NY.GDP.MKTP.KD,3.20466E+12,3.56985E+12,4.02392E+12,4.59658E+12,5.04035E+12,5.51413E+12,6.10062E+12,6.6824E+12,7.20739E+12,7.76651E+12,8.33329E+12
Colombia,COL,GDP (constant 2010 US$),NY.GDP.MKTP.KD,2.19601E+11,2.29937E+11,2.45337E+11,2.62267E+11,2.71569E+11,2.76054E+11,2.87018E+11,3.05931E+11,3.18303E+11,3.33817E+11,3.48484E+11
Comoros,COM,GDP (constant 2010 US$),NY.GDP.MKTP.KD,476594257.6,490117180.1,503090091.1,507115580.5,509145396.1,519073731.2,530493353.2,544286180.9,560614766.1,580236282.9,592198663.1
"Congo, Dem. Rep.",COD,GDP (constant 2010 US$),NY.GDP.MKTP.KD,14768798308,15674886408,16508944145,17542316526,18634483660,19166509369,20523285374,21932132984,23502004277,25500497990,27925586058
"Congo, Rep.",COG,GDP (constant 2010 US$),NY.GDP.MKTP.KD,8637979940,9307920845,9888362511,9731906590,10274194134,11041561163,12007880590,12418624708,12890531932,13334057141,14238098342
Costa Rica,CRI,GDP (constant 2010 US$),NY.GDP.MKTP.KD,28438822146,29539652853,31677653998,34265051869,35858239193,35510217658,37268635287,38873833296,40738579949,41662949490,43186481741
Cote d'Ivoire,CIV,GDP (constant 2010 US$),NY.GDP.MKTP.KD,21923410906,22300767039,22638811513,23038394864,23624224724,24392355457,24884505035,23792758396,26340131050,28681616270,31203899802
Croatia,HRV,GDP (constant 2010 US$),NY.GDP.MKTP.KD,55954431684,58284285195,61073258694,64218534558,65537175791,60698052947,59665427465,59497610895,58196142797,57576981757,57293842615
Cuba,CUB,GDP (constant 2010 US$),NY.GDP.MKTP.KD,44497068633,49481477439,55451844706,59478833619,61927474920,62826231727,64328000000,66130664082,68124437665,69996226460,70729490571
Cyprus,CYP,GDP (constant 2010 US$),NY.GDP.MKTP.KD,21763510222,22574052491,23592183641,24729494525,25685033799,25229779225,25562251656,25644356585,24834564819,23356225780,22998536479
Czech Republic,CZE,GDP (constant 2010 US$),NY.GDP.MKTP.KD,1.72472E+11,1.83583E+11,1.96207E+11,2.07056E+11,2.12669E+11,2.02372E+11,2.07016E+11,2.11166E+11,2.09477E+11,2.08464E+11,2.14124E+11
Denmark,DNK,GDP (constant 2010 US$),NY.GDP.MKTP.KD,3.11348E+11,3.18623E+11,3.31091E+11,3.34101E+11,3.3239E+11,3.16081E+11,3.21995E+11,3.263E+11,3.27039E+11,3.30091E+11,3.35623E+11
Djibouti,DJI,GDP (constant 2010 US$),NY.GDP.MKTP.KD,863642312.6,891016329.4,933783907.5,981407460.1,1038328726,1090583938,1128611700,1179032592,1236125825,1297930970,1375809351
Dominica,DMA,GDP (constant 2010 US$),NY.GDP.MKTP.KD,423761746.3,423387808.8,435791748.5,463338169.8,496331285,490525414.3,493824407.4,492683617.1,487412935,491169137.4,511734207.9
Dominican Republic,DOM,GDP (constant 2010 US$),NY.GDP.MKTP.KD,36370076969,39738946301,43979550793,47810351794,49344827072,49811705704,53954579004,55628205430,57182407631,59894034107,64451350101
Early-demographic dividend,EAR,GDP (constant 2010 US$),NY.GDP.MKTP.KD,6.31514E+12,6.72804E+12,7.16271E+12,7.62248E+12,7.90412E+12,7.97068E+12,8.49018E+12,8.94649E+12,9.30132E+12,9.70707E+12,1.01413E+13
East Asia & Pacific,EAS,GDP (constant 2010 US$),NY.GDP.MKTP.KD,1.27701E+13,1.34144E+13,1.41584E+13,1.50781E+13,1.5607E+13,1.58173E+13,1.69343E+13,1.77151E+13,1.85411E+13,1.94226E+13,2.02214E+13
East Asia & Pacific (excluding high income),EAP,GDP (constant 2010 US$),NY.GDP.MKTP.KD,4.50564E+12,4.94307E+12,5.47512E+12,6.14787E+12,6.66349E+12,7.1742E+12,7.87483E+12,8.54211E+12,9.18397E+12,9.84593E+12,1.05116E+13
East Asia & Pacific (IDA & IBRD countries),TEA,GDP (constant 2010 US$),NY.GDP.MKTP.KD,4.49669E+12,4.93329E+12,5.46435E+12,6.13582E+12,6.65046E+12,7.16021E+12,7.85952E+12,8.52554E+12,9.16622E+12,9.82694E+12,1.04914E+13
Ecuador,ECU,GDP (constant 2010 US$),NY.GDP.MKTP.KD,55917517446,58876285669,61468918472,62815127109,66808366776,67186830557,69555367000,75028081292,79261137178,83181798259,86503004996
"Egypt, Arab Rep.",EGY,GDP (constant 2010 US$),NY.GDP.MKTP.KD,1.5524E+11,1.62193E+11,1.73309E+11,1.85598E+11,1.98882E+11,2.08177E+11,2.18888E+11,2.22784E+11,2.2772E+11,2.32696E+11,2.39482E+11
El Salvador,SLV,GDP (constant 2010 US$),NY.GDP.MKTP.KD,19274802605,19961528067,20742412794,21538872737,21813256138,21129834509,21418330000,21893114521,22304937410,22716831094,23040654008
Equatorial Guinea,GNQ,GDP (constant 2010 US$),NY.GDP.MKTP.KD,10340911892,12072880265,13003085742,14990232118,17658359892,17895574580,16298542028,17361846463,18805114509,18027862927,17902653392
Estonia,EST,GDP (constant 2010 US$),NY.GDP.MKTP.KD,18185135023,19889757107,21932809903,23632206206,22351469215,19060348608,19490936349,20971721297,21875027648,22184606169,22810856962
Ethiopia,ETH,GDP (constant 2010 US$),NY.GDP.MKTP.KD,15972968199,17860775923,19795942248,22063798450,24444156129,26595865977,29933790334,33279878092,36157859262,39984181570,44085556182
Euro area,EMU,GDP (constant 2010 US$),NY.GDP.MKTP.KD,1.19391E+13,1.21417E+13,1.2535E+13,1.29141E+13,1.297E+13,1.23841E+13,1.26429E+13,1.28388E+13,1.27215E+13,1.2688E+13,1.28447E+13
Europe & Central Asia,ECS,GDP (constant 2010 US$),NY.GDP.MKTP.KD,1.90719E+13,1.95938E+13,2.03666E+13,2.11217E+13,2.13302E+13,2.0372E+13,2.09055E+13,2.13868E+13,2.14388E+13,2.16151E+13,2.19957E+13
Europe & Central Asia (excluding high income),ECA,GDP (constant 2010 US$),NY.GDP.MKTP.KD,2.46076E+12,2.63465E+12,2.8469E+12,3.06464E+12,3.19738E+12,3.00241E+12,3.15625E+12,3.34183E+12,3.45671E+12,3.58491E+12,3.66292E+12
Europe & Central Asia (IDA & IBRD countries),TEC,GDP (constant 2010 US$),NY.GDP.MKTP.KD,2.82771E+12,3.01442E+12,3.25013E+12,3.49625E+12,3.64733E+12,3.46504E+12,3.63557E+12,3.84519E+12,3.96817E+12,4.10348E+12,4.19851E+12
European Union,EUU,GDP (constant 2010 US$),NY.GDP.MKTP.KD,1.59077E+13,1.62393E+13,1.67846E+13,1.73026E+13,1.73819E+13,1.662E+13,1.69779E+13,1.72607E+13,1.71793E+13,1.72174E+13,1.75049E+13
Fiji,FJI,GDP (constant 2010 US$),NY.GDP.MKTP.KD,3010663631,3031738288,3087900728,3061633391,3093253763,3050380107,3140508836,3225464090,3286214955,3486033051,3675898772
Finland,FIN,GDP (constant 2010 US$),NY.GDP.MKTP.KD,2.31492E+11,2.37928E+11,2.47576E+11,2.60412E+11,2.62289E+11,2.406E+11,2.478E+11,2.5417E+11,2.50545E+11,2.48646E+11,2.47075E+11
Fragile and conflict affected situations,FCS,GDP (constant 2010 US$),NY.GDP.MKTP.KD,4.53201E+11,4.82952E+11,5.14988E+11,5.43046E+11,5.73764E+11,6.00197E+11,6.37801E+11,6.04346E+11,6.426E+11,6.78771E+11,7.02117E+11
France,FRA,GDP (constant 2010 US$),NY.GDP.MKTP.KD,2.50689E+12,2.54719E+12,2.60768E+12,2.66926E+12,2.67448E+12,2.59581E+12,2.64684E+12,2.70187E+12,2.70681E+12,2.7224E+12,2.7482E+12
Gabon,GAB,GDP (constant 2010 US$),NY.GDP.MKTP.KD,13090708219,13601338190,13106978860,13848696553,13390522032,13407974049,14358584300,15376859682,16184310412,17096848844,17834556864
"Gambia, The",GMB,GDP (constant 2010 US$),NY.GDP.MKTP.KD,765218419.3,758012541.8,766533358.5,794366380.5,839920448.1,894092762.5,952429030.4,911201531.5,964618263.9,1010735774,1019604583
Georgia,GEO,GDP (constant 2010 US$),NY.GDP.MKTP.KD,8250406686,9042416093,9890890979,11111822549,11368955393,10953977000,11638536834,12479016474,13271494257,13721005574,14355373169
Germany,DEU,GDP (constant 2010 US$),NY.GDP.MKTP.KD,3.19122E+12,3.21378E+12,3.33269E+12,3.44136E+12,3.4786E+12,3.28314E+12,3.41709E+12,3.54216E+12,3.55959E+12,3.57701E+12,3.63408E+12
Ghana,GHA,GDP (constant 2010 US$),NY.GDP.MKTP.KD,22161789893,23469336373,24971353346,26056812916,28440958948,29819138460,32174772956,36694042412,40103840659,43036444041,44751818870
Greece,GRC,GDP (constant 2010 US$),NY.GDP.MKTP.KD,3.0252E+11,3.04332E+11,3.21534E+11,3.32061E+11,3.30948E+11,3.16714E+11,2.99362E+11,2.72022E+11,2.52163E+11,2.4399E+11,2.44851E+11
Greenland,GRL,GDP (constant 2010 US$),NY.GDP.MKTP.KD,1929233122,1982166035,2123041909,2135737274,2212620686,2245621522,2306502374,2340907879,2376469124,2306075639,2287263740
Grenada,GRD,GDP (constant 2010 US$),NY.GDP.MKTP.KD,712303113.6,806847560.8,774430775.5,822062785,829864579.7,774978091.9,771015888.9,776912813.8,767937177.5,786001370.8,843825685.9
Guam,GUM,GDP (constant 2010 US$),NY.GDP.MKTP.KD,4680386191,4845859455,4660328826,4698437820,4779670150,4794713174,4895000000,4901017210,5000301168,5093567916,5157751485
Guatemala,GTM,GDP (constant 2010 US$),NY.GDP.MKTP.KD,33460283473,34551125870,36409899313,38705199942,39975176494,40185315839,41338595381,43059085364,44337951141,45977203823,47896476508
Guinea,GIN,GDP (constant 2010 US$),NY.GDP.MKTP.KD,4133010005,4256887580,4363170508,4439861186,4659054145,4645999835,4735956493,4921073735,5115166394,5232815182,5253746370
Guinea-Bissau,GNB,GDP (constant 2010 US$),NY.GDP.MKTP.KD,690382259.6,719829998.4,736456272.7,760060047.1,784438039.8,810416099.1,846332456.4,925330348.6,908693015.2,916146773.3,939426750.9
Guyana,GUY,GDP (constant 2010 US$),NY.GDP.MKTP.KD,1862536418,1826088235,1919759428,2054532558,2095143415,2164673351,2259288396,2382128754,2496863007,2627239852,2728149909
Haiti,HTI,GDP (constant 2010 US$),NY.GDP.MKTP.KD,6266620799,6379733985,6523228359,6741318083,6798211055,7007816740,6622541529,6988353355,7189974062,7494401367,7705005174
Heavily indebted poor countries (HIPC),HPC,GDP (constant 2010 US$),NY.GDP.MKTP.KD,3.29981E+11,3.50398E+11,3.71816E+11,3.96141E+11,4.19984E+11,4.38086E+11,4.63158E+11,4.84965E+11,5.13027E+11,5.41921E+11,5.71932E+11
High income,HIC,GDP (constant 2010 US$),NY.GDP.MKTP.KD,4.17371E+13,4.2881E+13,4.41683E+13,4.5311E+13,4.54491E+13,4.38969E+13,4.51878E+13,4.60117E+13,4.6586E+13,4.72271E+13,4.81437E+13
Honduras,HND,GDP (constant 2010 US$),NY.GDP.MKTP.KD,12511401250,13268415997,14139785191,15014801359,15650167710,15269613869,15839344592,16446892853,17125933704,17604014377,18142359319
"Hong Kong SAR, China",HKG,GDP (constant 2010 US$),NY.GDP.MKTP.KD,1.7567E+11,1.88649E+11,2.01916E+11,2.14969E+11,2.19544E+11,2.14145E+11,2.28638E+11,2.39646E+11,2.43721E+11,2.5128E+11,2.58221E+11
